urlid,label
5865,0.9
782,0.285
6962,0.282632008009
7640,0.2525
3589,0.12
6719,0.37875
3905,0.3525
9841,0.839444444444
7447,0.28
4776,0.393204883826
2879,0.811794871795
2620,0.282632008009
10479,0.46719047619
1105,0.269166666667
1849,0.270285894661
8286,0.688125
8344,0.61
10486,0.8625
8661,0.715625
7188,0.282632008009
1433,0.575
677,0.585
469,0.826666666667
6988,0.388438644689
8024,0.258166666667
6896,0.365
9154,0.542767857143
342,0.855
50,0.401722222222
983,0.233571428571
6933,0.169
8271,0.175666666667
5602,0.306136363636
4505,0.24269047619
4966,0.759166666667
2390,0.282777777778
6736,0.423790425261
4660,0.955
7560,0.825
3840,0.454971988796
5823,0.83
5789,0.755
1595,0.266111111111
6770,0.7725
3522,0.938333333333
5584,0.839285714286
8323,0.7625
3862,0.760277777778
373,0.292272727273
7345,0.4855
7708,0.6345
1398,0.90375
4298,0.18625
7467,0.1475
1878,0.87
1832,0.53625
625,0.365769230769
7438,0.403333333333
9961,0.945
7117,0.37
8190,0.224583333333
1713,0.486321608232
949,0.480748945148
9246,0.309722943723
2326,0.244166666667
8942,0.295
4458,0.620488095238
4659,0.512571428571
9522,0.365
2497,0.497932711649
9836,0.53
3808,0.7945
5575,0.86
5714,0.240416666667
2490,0.895
6812,0.395383852885
4335,0.262765151515
10014,0.494864163472
5889,0.735196078431
482,0.318261455526
8082,0.291469195603
5856,0.604621212121
8866,0.763571428571
2624,0.736833333333
1371,0.692638888889
4436,0.210263736264
2972,0.815
3638,0.925
6249,0.530702380952
7602,0.285777777778
9624,0.967580645161
7567,0.376728896104
6578,0.155
7590,0.829666666667
8590,0.3464375
10520,0.860416666667
1906,0.397627164502
1373,0.375
1601,0.83375
4754,0.224038461538
8208,0.164166666667
1658,0.965
1352,0.853333333333
8143,0.86
7760,0.7
7836,0.8175
9769,0.600476190476
503,0.84125
4909,0.399056603774
7162,0.174863338416
10035,0.493333333333
1992,0.581
6133,0.602192573745
8519,0.350954763274
1879,0.64
7107,0.40125
1225,0.333772727273
2451,0.44
8252,0.284
9214,0.14
4850,0.842926829268
5891,0.192045454545
5274,0.185
8623,0.158
562,0.515
860,0.448428571429
4199,0.676206940223
7616,0.3175
10544,0.626805555556
1567,0.43
6552,0.535125
954,0.413333333333
111,0.557833333333
7036,0.785
1995,0.83
7095,0.3825
10180,0.468863636364
6872,0.694696969697
4805,0.839666666667
355,0.671057692308
8097,0.678833333333
9271,0.985
431,0.556666666667
1646,0.84
143,0.500205125323
3436,0.367
150,0.5925
9745,0.489124293785
715,0.207013888889
578,0.393204883826
8684,0.838
1186,0.393204883826
9115,0.385378722385
9239,0.29125
5461,0.6305
5424,0.512571428571
1349,0.623888888889
609,0.74
7569,0.504923076923
1622,0.18
6541,0.185
9873,0.785
305,0.213333333333
6041,0.489609649123
5360,0.590333333333
8445,0.661758373206
7260,0.449904761905
4526,0.602192573745
138,0.6275
168,0.304166666667
7888,0.575
4639,0.93
867,0.276428571429
9673,0.4725
710,0.302916666667
4749,0.305
4716,0.2375
410,0.315875
2155,0.867638888889
3289,0.625
7774,0.282608233037
1200,0.315555555556
9057,0.487916666667
2261,0.3675
9612,0.286912949795
4987,0.295
3605,0.876038961039
5068,0.955
4474,0.486734234234
5831,0.648125
4729,0.335111111111
10060,0.549242424242
6895,0.454986883173
3791,0.646
7910,0.0419230769231
4209,0.1
4984,0.898125
1773,0.448264150943
2101,0.332738095238
7251,0.313958333333
2887,0.473209553159
875,0.4785
8185,0.515
9688,0.875
5342,0.376949505603
6802,0.700421283635
3077,0.520261904762
712,0.13125
3026,0.282632008009
2640,0.26
4872,0.499761904762
3334,0.494864163472
2431,0.387166666667
9218,0.339166666667
7417,0.8
3563,0.875
1006,0.725945945946
8940,0.708625
7703,0.115
2686,0.335198412698
8159,0.682160714286
37,0.3675
65,0.371666666667
1910,0.444
2202,0.670982384824
9717,0.855
2388,0.309011904762
2365,0.298
5072,0.499166666667
4614,0.275
6955,0.340333333333
4094,0.376949505603
3319,0.8825
1456,0.865
5381,0.713
4479,0.805
4766,0.432648809524
6076,0.893571428571
8064,0.435
3416,0.7
4892,0.197786921039
9942,0.77
9215,0.387090007215
4506,0.885
9275,0.464166666667
1306,0.856333333333
6828,0.76375
8368,0.535
7205,0.331
360,0.897333333333
3386,0.310141053391
3835,0.44170888055
1305,0.301666666667
7963,0.207
2073,0.601871031746
4230,0.492916666667
9012,0.2975
2723,0.703870798319
6788,0.662727272727
7945,0.107416666667
4868,0.83625
6597,0.360625
7323,0.402708333333
6229,0.35765
3427,0.777159090909
7727,0.1675
4707,0.875
2547,0.92
4523,0.875
9648,0.415769230769
1084,0.373
3327,0.597857142857
5591,0.568392857143
186,0.135
2938,0.28075
9912,0.818333333333
6047,0.31
2417,0.6
10533,0.16625
1137,0.217253968254
1533,0.750871794872
9233,0.5875
43,0.15
8986,0.357444444444
6000,0.905
480,0.37162012987
2457,0.383125
5362,0.265416666667
7722,0.543392857143
7940,0.584270833333
6104,0.955
8853,0.180833333333
5813,0.624791666667
4769,0.442833333333
2544,0.832555555556
6379,0.275
5262,0.286470588235
9885,0.3
10081,0.484112554113
1315,0.394338383838
3388,0.2825
3473,0.84
2117,0.360600416232
9411,0.483125
9379,0.835
4236,0.16
2049,0.294665750916
4786,0.442
1604,0.387820512821
7659,0.392916666667
8152,0.532083333333
5417,0.525
160,0.466666666667
6826,0.77525862069
1815,0.407894736842
3647,0.96
5605,0.274038461538
3526,0.886666666667
3854,0.75
1053,0.252871621622
2411,0.0
6015,0.539897704467
2089,0.539219180689
7745,0.8625
6816,0.76375
3934,0.451428571429
6547,0.282632008009
3758,0.572569444444
7158,0.451842285138
1584,0.286071428571
2982,0.49
7679,0.805
5286,0.738333333333
3776,0.97
1235,0.59625
6294,0.6825
1012,0.758888888889
10318,0.467428571429
7134,0.5975
5180,0.7155
2108,0.195
3639,0.21
6729,0.46
2472,0.53725
10235,0.4555
190,0.81746031746
4713,0.527321428571
6827,0.534583333333
6108,0.466476296081
1114,0.885
4848,0.445
606,0.403333333333
1573,0.804732142857
8546,0.403333333333
5193,0.2125
2936,0.301547619048
5104,0.710666666667
6712,0.510997807018
3055,0.638803475936
74,0.44725
7726,0.748703703704
9183,0.40875
162,0.368541666667
7288,0.553332936822
8657,0.785
1295,0.29880952381
8207,0.55875
4433,0.546333333333
590,0.9375
10549,0.571666666667
7749,0.360279945146
405,0.8985
10267,0.518226190476
7133,0.436714285714
7584,0.700421283635
6616,0.728333333333
1719,0.495
9761,0.6585
